categories,pvalue
NonpolartoNonpolar,0.001354
Nonpolar_to_Polar,4.461e-13 
Nonpolar_to_Negatively_charged,0.0001326
Nonpolar_to_Positively_charged,0.01526
Polar_to_Nonpolar,0.9107
Polar_to_Polar,0.4298
Polar_to_Negatively_charged,2.2e-16 
Polar_to_Positively_charged,2.2e-16 
Negatively_charged_to_Nonpolar,1.088e-06 
Negatively_charged_to_Polar,0.03395
Negatively_charged_to_Negatively_charged,4.959e-06 
Negatively_charged_to_Positively_charged,0.1884
Positively_charged_to_Nonpolar,2.2e-16 
Positively_charged_to_Polar,0.9614
Positively_charged_to_Negatively_charged,0.002982
Positively_charged_to_Positively_charged,0.5597
